Worker,Employer,Role,Date
1097525,103886,1452,28/11/2020 04:00
163889,103886,1452,28/11/2020 04:00
1135328,103886,1452,28/11/2020 04:00
977717,103886,1452,28/11/2020 04:00
1075484,103886,1452,28/11/2020 04:00
1113605,103886,1452,28/11/2020 04:00
1113437,103886,1452,28/11/2020 04:00
1085447,103886,1452,28/11/2020 04:00
1101962,103886,1452,28/11/2020 04:00
1035680,103886,1452,28/11/2020 04:00
1113605,103886,1452,27/11/2020 04:00
1101962,103886,1452,27/11/2020 04:00
977717,103886,1452,27/11/2020 04:00
1113437,103886,1452,27/11/2020 04:00
163889,103886,1452,27/11/2020 04:00
1035680,103886,1452,27/11/2020 04:00
1097525,103886,1452,27/11/2020 04:00
1085447,103886,1452,27/11/2020 04:00
1135328,103886,1452,27/11/2020 04:00
1113020,103886,1452,27/11/2020 04:00
1069925,103886,1452,26/11/2020 04:00
1085447,103886,1452,26/11/2020 04:00
1097525,103886,1452,26/11/2020 04:00
977717,103886,1452,26/11/2020 04:00
1119119,103886,1452,26/11/2020 04:00
1101962,103886,1452,26/11/2020 04:00
1035680,103886,1452,26/11/2020 04:00
882707,103886,1452,26/11/2020 04:00
1113020,103886,1452,26/11/2020 04:00
977717,103886,1452,25/11/2020 04:00
1069925,103886,1452,25/11/2020 04:00
1097525,103886,1452,25/11/2020 04:00
1035680,103886,1452,25/11/2020 04:00
1101962,103886,1452,25/11/2020 04:00
1113020,103886,1452,25/11/2020 04:00
1119119,103886,1452,25/11/2020 04:00
1085447,103886,1452,25/11/2020 04:00
1049285,103886,1452,25/11/2020 04:00
1113605,103886,1452,24/11/2020 04:00
1109636,103886,1452,24/11/2020 04:00
1113020,103886,1452,24/11/2020 04:00
1085447,103886,1452,24/11/2020 04:00
1119119,103886,1452,24/11/2020 04:00
977717,103886,1452,24/11/2020 04:00
1101962,103886,1452,24/11/2020 04:00
1069925,103886,1452,24/11/2020 04:00
1049285,103886,1452,24/11/2020 04:00
1049285,103886,1452,23/11/2020 04:00
1119119,103886,1452,23/11/2020 04:00
977717,103886,1452,23/11/2020 04:00
1162367,103886,1452,23/11/2020 04:00
1101962,103886,1452,23/11/2020 04:00
1113605,103886,1452,23/11/2020 04:00
1109636,103886,1452,23/11/2020 04:00
1097525,103886,1452,23/11/2020 04:00
1054643,103886,1452,23/11/2020 04:00
1101962,103886,1452,22/11/2020 04:00
1035680,103886,1452,22/11/2020 04:00
1114013,103886,1452,22/11/2020 04:00
1113437,103886,1452,22/11/2020 04:00
1119119,103886,1452,22/11/2020 04:00
977717,103886,1452,22/11/2020 04:00
1097525,103886,1452,22/11/2020 04:00
1113437,103886,1452,21/11/2020 04:00
1085447,103886,1452,21/11/2020 04:00
1133372,103886,1452,21/11/2020 04:00
1119119,103886,1452,21/11/2020 04:00
1114013,103886,1452,21/11/2020 04:00
1101962,103886,1452,21/11/2020 04:00
1097525,103886,1452,21/11/2020 04:00
1048607,103886,1452,21/11/2020 04:00
1082303,103886,1452,21/11/2020 04:00
1035680,103886,1452,21/11/2020 04:00
1097525,103886,1452,20/11/2020 04:00
1114013,103886,1452,20/11/2020 04:00
1113020,103886,1452,20/11/2020 04:00
1113437,103886,1452,20/11/2020 04:00
1085447,103886,1452,20/11/2020 04:00
1133372,103886,1452,20/11/2020 04:00
1082867,103886,1452,20/11/2020 04:00
1101962,103886,1452,20/11/2020 04:00
1119119,103886,1452,20/11/2020 04:00
1085447,103886,1452,19/11/2020 04:00
1113020,103886,1452,19/11/2020 04:00
1101962,103886,1452,19/11/2020 04:00
1097525,103886,1452,19/11/2020 04:00
1133372,103886,1452,19/11/2020 04:00
1113437,103886,1452,19/11/2020 04:00
1082303,103886,1452,19/11/2020 04:00
1119119,103886,1452,18/11/2020 04:00
1113020,103886,1452,18/11/2020 04:00
1082303,103886,1452,18/11/2020 04:00
1035680,103886,1452,18/11/2020 04:00
163889,103886,1452,18/11/2020 04:00
1085447,103886,1452,18/11/2020 04:00
1101962,103886,1452,18/11/2020 04:00
1097525,103886,1452,18/11/2020 04:00
257141,103886,1452,18/11/2020 04:00
257141,103886,1452,17/11/2020 04:00
163889,103886,1452,17/11/2020 04:00
1082867,103886,1452,17/11/2020 04:00
1035680,103886,1452,17/11/2020 04:00
1085447,103886,1452,17/11/2020 04:00
1113020,103886,1452,17/11/2020 04:00
1119119,103886,1452,17/11/2020 04:00
1047392,103886,1452,17/11/2020 04:00
1101962,103886,1452,17/11/2020 04:00
1097525,103886,1452,17/11/2020 04:00
1035680,103886,1452,16/11/2020 04:00
1135328,103886,1452,16/11/2020 04:00
1113020,103886,1452,16/11/2020 04:00
1085447,103886,1452,16/11/2020 04:00
1119119,103886,1452,16/11/2020 04:00
163889,103886,1452,16/11/2020 04:00
1097525,103886,1452,16/11/2020 04:00
1101962,103886,1452,16/11/2020 04:00
257141,103886,1452,16/11/2020 04:00
1114013,103886,1452,15/11/2020 04:00
1119119,103886,1452,15/11/2020 04:00
257141,103886,1452,15/11/2020 04:00
1135328,103886,1452,15/11/2020 04:00
1101962,103886,1452,15/11/2020 04:00
1085447,103886,1452,15/11/2020 04:00
163889,103886,1452,15/11/2020 04:00
977717,103886,1452,14/11/2020 04:00
1101962,103886,1452,14/11/2020 04:00
1122773,103886,1452,14/11/2020 04:00
1109636,103886,1452,14/11/2020 04:00
1113437,103886,1452,14/11/2020 04:00
1049285,103886,1452,14/11/2020 04:00
163889,103886,1452,14/11/2020 04:00
1085447,103886,1452,14/11/2020 04:00
1035680,103886,1452,14/11/2020 04:00
1035680,103886,1452,13/11/2020 04:00
163889,103886,1452,13/11/2020 04:00
1109636,103886,1452,13/11/2020 04:00
1097525,103886,1452,13/11/2020 04:00
1049285,103886,1452,13/11/2020 04:00
1101962,103886,1452,13/11/2020 04:00
977717,103886,1452,13/11/2020 04:00
1085447,103886,1452,13/11/2020 04:00
1113437,103886,1452,13/11/2020 04:00
1082303,103886,1452,13/11/2020 04:00
977717,103886,1452,12/11/2020 04:00
1049285,103886,1452,12/11/2020 04:00
1082303,103886,1452,12/11/2020 04:00
1113020,103886,1452,12/11/2020 04:00
1114013,103886,1452,12/11/2020 04:00
163889,103886,1452,12/11/2020 04:00
1069925,103886,1452,12/11/2020 04:00
1133372,103886,1452,12/11/2020 04:00
1101962,103886,1452,12/11/2020 04:00
1097525,103886,1452,12/11/2020 04:00
163889,103886,1452,11/11/2020 04:00
1119119,103886,1452,11/11/2020 04:00
1049285,103886,1452,11/11/2020 04:00
1069925,103886,1452,11/11/2020 04:00
977717,103886,1452,11/11/2020 04:00
1133372,103886,1452,11/11/2020 04:00
1082303,103886,1452,11/11/2020 04:00
